business_class,economy_class,month,year
94.49219223496588,NA,1,2016
94.94890873060713,NA,2,2016
95.06346700909576,NA,3,2016
94.43608402351693,NA,4,2016
94.46694463654956,NA,5,2016
95.25125871077593,NA,6,2016
94.17979015154859,NA,7,2016
94.38955181522591,NA,8,2016
94.8804992200623,NA,9,2016
93.90037137403019,NA,10,2016
94.23701573285564,NA,11,2016
96.94463516981224,NA,12,2016
94.12092256481172,NA,1,2017
94.1504111953881,NA,2,2017
95.2932421922341,NA,3,2017
93.78597315443504,NA,4,2017
95.9738181592481,NA,5,2017
95.10604359827906,NA,6,2017
94.46300115231274,NA,7,2017
92.26858652925421,NA,8,2017
94.85387590123567,NA,9,2017
94.16092015104961,NA,10,2017
94.32602751450915,NA,11,2017
93.84632072166961,NA,12,2017
92.69923791583383,NA,1,2018
93.23962475531546,NA,2,2018
93.67301329241991,NA,3,2018
93.54749971023868,NA,4,2018
93.64612963347506,NA,5,2018
93.87257454457824,NA,6,2018
93.60522407675334,NA,7,2018
92.89937195288786,NA,8,2018
92.91369731395311,NA,9,2018
92.80421573209213,NA,10,2018
92.65702429218413,NA,11,2018
91.95567121121614,NA,12,2018
89.04434090068544,NA,1,2019
89.5613963769285,NA,2,2019
91.10139347179037,NA,3,2019
84.48902984980906,NA,4,2019
83.65554002836261,NA,5,2019
83.44331722401172,NA,6,2019
82.82313429790253,NA,7,2019
72.08222464618126,NA,8,2019
83.32136240717709,NA,9,2019
82.73233284530546,NA,10,2019
81.87885013225899,NA,11,2019
81.0343048121574,NA,12,2019
81.64561994790988,NA,1,2020
79.07808127940758,NA,2,2020
81.5524739407616,NA,3,2020
100.26996349601815,NA,4,2020
90.55961225380301,NA,5,2020
91.37512518113498,NA,6,2020
83.17567405270614,NA,7,2020
96.25387176320952,NA,8,2020
88.8738272097853,NA,9,2020
91.35137452267834,NA,10,2020
77.15295762964577,NA,11,2020
69.75016300089997,NA,12,2020
69.75298434473602,NA,1,2021
69.75298434473602,NA,2,2021
70.378875269058,NA,3,2021
64.95603636819214,NA,4,2021
64.33088087489777,NA,5,2021
64.3688068266784,NA,6,2021
48.028873801339,NA,7,2021
46.76219013547596,NA,8,2021
53.26069323700313,NA,9,2021
44.037441290033755,NA,10,2021
48.39895455430475,NA,11,2021
39.63552508716142,NA,12,2021
54.25620701774346,NA,1,2022
54.77833846605448,NA,2,2022
45.968543394965025,NA,3,2022
46.35239595119962,NA,4,2022
45.86600443925102,NA,5,2022
46.728583450967605,NA,6,2022
50.989941157555144,NA,7,2022
54.28014726819998,NA,8,2022
67.67726128928604,NA,9,2022
57.3711676844103,NA,10,2022
61.61727626134717,NA,11,2022
61.75980195836994,NA,12,2022
56.61981584454949,NA,1,2023
58.12887945668792,NA,2,2023
60.364592347010024,NA,3,2023
61.5952660051696,NA,4,2023
54.7111257740632,NA,5,2023
58.859087919562505,NA,6,2023
56.921869522733836,NA,7,2023
57.204747812523166,NA,8,2023
51.865688351502,NA,9,2023
51.47495109005194,NA,10,2023
52.55298626046859,NA,11,2023
56.886889620283945,NA,12,2023
53.2585876725697,NA,1,2024
53.066099236448565,NA,2,2024
53.631710375496056,NA,3,2024
58.02852082553748,NA,4,2024
60.98175932897321,NA,5,2024
61.451827580292466,NA,6,2024
62.564686478540956,NA,7,2024
63.93462780642989,NA,8,2024
63.8705651825865,NA,9,2024
69.38412007162209,NA,10,2024
58.233520652810476,NA,11,2024
51.700426117716184,NA,12,2024
43.64096835413591,NA,1,2025
49.965167715636284,NA,2,2025
54.7101906900785,NA,3,2025
53.15160826513407,NA,4,2025
50.002913434848814,NA,5,2025
50.834029060248064,NA,6,2025
53.14118357154942,NA,7,2025
51.80777386005638,NA,8,2025
58.89586875479872,NA,9,2025
56.70281380806761,NA,10,2025
50.64071623332685,NA,11,2025
