origin_city,dest_city,dest_country,n_passengers_in,n_passengers_out,year,month
Adelaide,Auckland,New Zealand,2725,3179,2016,9
Adelaide,Denpasar,Indonesia,6611,7437,2016,9
Adelaide,Dubai,United Arab Emirates,9927,9051,2016,9
Adelaide,Hong Kong,Hong Kong (SAR),4017,3972,2016,9
Adelaide,Kuala Lumpur,Malaysia,3942,4008,2016,9
Adelaide,Singapore,Singapore,8196,8035,2016,9
Brisbane,Abu Dhabi,United Arab Emirates,6733,6818,2016,9
Brisbane,Apia,Western Samoa,516,562,2016,9
Brisbane,Auckland,New Zealand,40397,40807,2016,9
Brisbane,Bangkok,Thailand,6413,7001,2016,9
Brisbane,Christchurch,New Zealand,7830,8447,2016,9
Brisbane,Denpasar,Indonesia,9789,9812,2016,9
Brisbane,Dubai,United Arab Emirates,18553,17836,2016,9
Brisbane,Dunedin,New Zealand,2202,2304,2016,9
Brisbane,Espiritu Santo,Vanuatu,123,416,2016,9
Brisbane,Guangzhou,China,4580,4465,2016,9
Brisbane,Hong Kong,Hong Kong (SAR),15201,15055,2016,9
Brisbane,Honiara,Solomon Islands,1817,2077,2016,9
Brisbane,Honolulu,USA,5859,7047,2016,9
Brisbane,Los Angeles,USA,19114,18083,2016,9
Brisbane,Manila,Philippines,922,931,2016,9
Brisbane,Nadi,Fiji,8071,8645,2016,9
Brisbane,Nauru,Nauru,803,825,2016,9
Brisbane,Noumea,New Caledonia,1346,1423,2016,9
Brisbane,Port Moresby,Papua New Guinea,8508,8883,2016,9
Brisbane,Port Vila,Vanuatu,3061,3269,2016,9
Brisbane,Queenstown,New Zealand,4210,4450,2016,9
Brisbane,Seoul,Korea,3337,3475,2016,9
Brisbane,Singapore,Singapore,33974,33189,2016,9
Brisbane,Taipei,Taiwan,4274,5191,2016,9
Brisbane,Tokyo,Japan,6317,7183,2016,9
Brisbane,Wellington,New Zealand,8515,8570,2016,9
Cairns,Auckland,New Zealand,2481,2599,2016,9
Cairns,Denpasar,Indonesia,1699,1843,2016,9
Cairns,Guam,Guam,528,553,2016,9
Cairns,Hong Kong,Hong Kong (SAR),2770,2186,2016,9
Cairns,Osaka,Japan,4181,5318,2016,9
Cairns,Port Moresby,Papua New Guinea,4151,4379,2016,9
Cairns,Singapore,Singapore,1211,1419,2016,9
Cairns,Tokyo,Japan,6825,7899,2016,9
Darwin,Denpasar,Indonesia,3983,4132,2016,9
Darwin,Kuala Lumpur,Malaysia,1158,1103,2016,9
Darwin,Manila,Philippines,507,436,2016,9
Darwin,Singapore,Singapore,5149,4811,2016,9
Gold Coast,Auckland,New Zealand,12454,12437,2016,9
Gold Coast,Christchurch,New Zealand,4126,3944,2016,9
Gold Coast,Kuala Lumpur,Malaysia,6811,7288,2016,9
Gold Coast,Nadi,Fiji,1828,1902,2016,9
Gold Coast,Queenstown,New Zealand,1497,1710,2016,9
Gold Coast,Singapore,Singapore,5449,5408,2016,9
Gold Coast,Tokyo,Japan,6180,7771,2016,9
Gold Coast,Wellington,New Zealand,1915,1882,2016,9
Gold Coast,Wuhan,China,319,NA,2016,9
Melbourne,Abu Dhabi,United Arab Emirates,18996,17963,2016,9
Melbourne,Anchorage,USA,NA,NA,2016,9
Melbourne,Auckland,New Zealand,44482,44373,2016,9
Melbourne,Bandar Seri Begawan,Brunei,6615,6197,2016,9
Melbourne,Bangkok,Thailand,16524,17984,2016,9
Melbourne,Beijing,China,3064,2933,2016,9
Melbourne,Chengdu,China,2137,2203,2016,9
Melbourne,Christchurch,New Zealand,10364,10838,2016,9
Melbourne,Denpasar,Indonesia,27454,28467,2016,9
Melbourne,Doha,Qatar,9401,9516,2016,9
Melbourne,Dubai,United Arab Emirates,27623,23725,2016,9
Melbourne,Guangzhou,China,11284,12033,2016,9
Melbourne,Ho Chi Minh City,Vietnam,6455,6137,2016,9
Melbourne,Hohhot,China,NA,NA,2016,9
Melbourne,Hong Kong,Hong Kong (SAR),27042,26467,2016,9
Melbourne,Honolulu,USA,3254,3184,2016,9
Melbourne,Jakarta,Indonesia,2770,2937,2016,9
Melbourne,Kuala Lumpur,Malaysia,31123,31997,2016,9
Melbourne,London,UK,4646,6300,2016,9
Melbourne,Los Angeles,USA,22411,21469,2016,9
Melbourne,Manila,Philippines,2425,2210,2016,9
Melbourne,Nadi,Fiji,8289,8958,2016,9
Melbourne,New Delhi,India,2675,2578,2016,9
Melbourne,New York,USA,NA,NA,2016,9
Melbourne,Noumea,New Caledonia,965,1162,2016,9
Melbourne,Osaka,Japan,132,368,2016,9
Melbourne,Phuket,Thailand,3635,3352,2016,9
Melbourne,Queenstown,New Zealand,4177,3902,2016,9
Melbourne,Shanghai,China,10232,10077,2016,9
Melbourne,Singapore,Singapore,52629,49195,2016,9
Melbourne,Surabaya,Indonesia,NA,NA,2016,9
Melbourne,Tokyo,Japan,3423,4987,2016,9
Melbourne,Wellington,New Zealand,9377,9310,2016,9
Norfolk Island,Auckland,New Zealand,444,414,2016,9
Perth,Abu Dhabi,United Arab Emirates,7605,7244,2016,9
Perth,Auckland,New Zealand,7378,7659,2016,9
Perth,Bangkok,Thailand,4386,5146,2016,9
Perth,Denpasar,Indonesia,37188,39313,2016,9
Perth,Doha,Qatar,9166,9352,2016,9
Perth,Dubai,United Arab Emirates,21379,18369,2016,9
Perth,Guangzhou,China,3057,3041,2016,9
Perth,Hohhot,China,NA,NA,2016,9
Perth,Hong Kong,Hong Kong (SAR),9293,9676,2016,9
Perth,Jakarta,Indonesia,1861,2471,2016,9
Perth,Johannesburg,South Africa,5553,5962,2016,9
Perth,Kota Kinabalu,Malaysia,578,624,2016,9
Perth,Kuala Lumpur,Malaysia,17729,17879,2016,9
Perth,Mauritius,Mauritius,2098,2204,2016,9
Perth,Phuket,Thailand,2073,2181,2016,9
Perth,Shanghai,China,NA,NA,2016,9
Perth,Singapore,Singapore,46457,47505,2016,9
Port Hedland,Denpasar,Indonesia,304,425,2016,9
Sunshine Coast,Auckland,New Zealand,1643,1593,2016,9
Sydney,Abu Dhabi,United Arab Emirates,24730,23952,2016,9
Sydney,Anchorage,USA,NA,NA,2016,9
Sydney,Apia,Western Samoa,1266,1509,2016,9
Sydney,Auckland,New Zealand,56119,59216,2016,9
Sydney,Bangkok,Thailand,23137,21584,2016,9
Sydney,Beijing,China,5174,5492,2016,9
Sydney,Chicago,USA,NA,NA,2016,9
Sydney,Chongqing,China,1544,1714,2016,9
Sydney,Christchurch,New Zealand,16970,20025,2016,9
Sydney,Dallas,USA,7436,9668,2016,9
Sydney,Denpasar,Indonesia,19000,19144,2016,9
Sydney,Dubai,United Arab Emirates,36788,32035,2016,9
Sydney,Guangzhou,China,13327,14442,2016,9
Sydney,Ho Chi Minh City,Vietnam,6893,7139,2016,9
Sydney,Hohhot,China,NA,NA,2016,9
Sydney,Hong Kong,Hong Kong (SAR),39593,39484,2016,9
Sydney,Honiara,Solomon Islands,192,256,2016,9
Sydney,Honolulu,USA,18986,20081,2016,9
Sydney,Jakarta,Indonesia,6366,6520,2016,9
Sydney,Johannesburg,South Africa,6969,6792,2016,9
Sydney,Kuala Lumpur,Malaysia,24526,24329,2016,9
Sydney,London,UK,12561,12412,2016,9
Sydney,Los Angeles,USA,39016,39436,2016,9
Sydney,Louisville,USA,NA,NA,2016,9
Sydney,Manila,Philippines,13328,12620,2016,9
Sydney,Nadi,Fiji,21015,22013,2016,9
Sydney,Nanjing,China,1173,1265,2016,9
Sydney,New Delhi,India,3673,3442,2016,9
Sydney,New York,USA,3970,4506,2016,9
Sydney,Noumea,New Caledonia,3277,3823,2016,9
Sydney,Osaka,Japan,142,NA,2016,9
Sydney,Phuket,Thailand,3761,3769,2016,9
Sydney,Port Moresby,Papua New Guinea,746,852,2016,9
Sydney,Port Vila,Vanuatu,2439,2694,2016,9
Sydney,Queenstown,New Zealand,8860,8502,2016,9
Sydney,Rarotonga,Cook Islands,750,854,2016,9
Sydney,San Francisco,USA,6816,6442,2016,9
Sydney,Santiago,Chile,8093,8447,2016,9
Sydney,Seoul,Korea,13205,13398,2016,9
Sydney,Shanghai,China,16626,15835,2016,9
Sydney,Shenzhen,China,NA,NA,2016,9
Sydney,Singapore,Singapore,64835,64066,2016,9
Sydney,Surabaya,Indonesia,NA,NA,2016,9
Sydney,Suva,Fiji,767,821,2016,9
Sydney,Taipei,Taiwan,3682,3983,2016,9
Sydney,Tokyo,Japan,14572,17034,2016,9
Sydney,Tongatapu,Tonga,966,1238,2016,9
Sydney,Toronto,Canada,1289,1180,2016,9
Sydney,Vancouver,Canada,6695,5035,2016,9
Sydney,Wellington,New Zealand,11561,12520,2016,9
Townsville,Denpasar,Indonesia,1111,1698,2016,9
Adelaide,Auckland,New Zealand,3663,3906,2016,10
Adelaide,Denpasar,Indonesia,8215,7473,2016,10
Adelaide,Dubai,United Arab Emirates,10452,6007,2016,10
Adelaide,Hong Kong,Hong Kong (SAR),4104,3892,2016,10
Adelaide,Kuala Lumpur,Malaysia,5008,3541,2016,10
Adelaide,Singapore,Singapore,8540,7588,2016,10
Brisbane,Abu Dhabi,United Arab Emirates,7211,6258,2016,10
Brisbane,Apia,Western Samoa,640,659,2016,10
Brisbane,Auckland,New Zealand,42012,46239,2016,10
Brisbane,Bangkok,Thailand,7893,5807,2016,10
Brisbane,Christchurch,New Zealand,9188,9320,2016,10
Brisbane,Denpasar,Indonesia,11228,10333,2016,10
Brisbane,Dubai,United Arab Emirates,20506,13058,2016,10
Brisbane,Dunedin,New Zealand,2430,2437,2016,10
Brisbane,Espiritu Santo,Vanuatu,279,319,2016,10
Brisbane,Guangzhou,China,5673,4958,2016,10
Brisbane,Hong Kong,Hong Kong (SAR),17372,15292,2016,10
Brisbane,Honiara,Solomon Islands,2174,1991,2016,10
Brisbane,Honolulu,USA,7506,6452,2016,10
Brisbane,Los Angeles,USA,19621,16691,2016,10
Brisbane,Manila,Philippines,1187,854,2016,10
Brisbane,Nadi,Fiji,9165,8120,2016,10
Brisbane,Nauru,Nauru,929,959,2016,10
Brisbane,Noumea,New Caledonia,1948,1924,2016,10
Brisbane,Port Moresby,Papua New Guinea,8172,7319,2016,10
Brisbane,Port Vila,Vanuatu,3395,2894,2016,10
Brisbane,Queenstown,New Zealand,1483,1708,2016,10
Brisbane,Seoul,Korea,4316,2894,2016,10
Brisbane,Singapore,Singapore,35988,30326,2016,10
Brisbane,Taipei,Taiwan,4556,4621,2016,10
Brisbane,Tokyo,Japan,8486,5357,2016,10
Brisbane,Wellington,New Zealand,8930,9481,2016,10
Cairns,Auckland,New Zealand,1871,2189,2016,10
Cairns,Denpasar,Indonesia,2167,2023,2016,10
Cairns,Hong Kong,Hong Kong (SAR),3274,3087,2016,10
Cairns,Osaka,Japan,5500,4995,2016,10
Cairns,Port Moresby,Papua New Guinea,4054,3527,2016,10
Cairns,Singapore,Singapore,1458,1613,2016,10
Cairns,Tokyo,Japan,7266,5662,2016,10
Darwin,Chongqing,China,NA,NA,2016,10
Darwin,Denpasar,Indonesia,4621,4035,2016,10
Darwin,Kuala Lumpur,Malaysia,1459,1059,2016,10
Darwin,Manila,Philippines,483,505,2016,10
Darwin,Singapore,Singapore,4659,3970,2016,10
Gold Coast,Auckland,New Zealand,13334,14363,2016,10
Gold Coast,Christchurch,New Zealand,4173,4027,2016,10
Gold Coast,Kuala Lumpur,Malaysia,7345,5968,2016,10
Gold Coast,Nadi,Fiji,2075,1852,2016,10
Gold Coast,Queenstown,New Zealand,1839,1792,2016,10
Gold Coast,Singapore,Singapore,6094,4575,2016,10
Gold Coast,Tokyo,Japan,5964,4149,2016,10
Gold Coast,Wellington,New Zealand,1995,2057,2016,10
Gold Coast,Wuhan,China,2304,2151,2016,10
Melbourne,Abu Dhabi,United Arab Emirates,19678,13631,2016,10
Melbourne,Anchorage,USA,NA,NA,2016,10
Melbourne,Auckland,New Zealand,51309,50931,2016,10
Melbourne,Bandar Seri Begawan,Brunei,6430,3609,2016,10
Melbourne,Bangkok,Thailand,21229,16266,2016,10
Melbourne,Beijing,China,4087,3425,2016,10
Melbourne,Chengdu,China,2919,2666,2016,10
Melbourne,Chicago,USA,NA,NA,2016,10
Melbourne,Chongqing,China,NA,NA,2016,10
Melbourne,Christchurch,New Zealand,12674,12208,2016,10
Melbourne,Denpasar,Indonesia,30108,27171,2016,10
Melbourne,Doha,Qatar,9999,6605,2016,10
Melbourne,Dubai,United Arab Emirates,30541,15140,2016,10
Melbourne,Guangzhou,China,14465,13258,2016,10
Melbourne,Ho Chi Minh City,Vietnam,7684,5403,2016,10
Melbourne,Hong Kong,Hong Kong (SAR),30972,28961,2016,10
Melbourne,Honolulu,USA,3967,3401,2016,10
Melbourne,Jakarta,Indonesia,2690,2225,2016,10
Melbourne,Kuala Lumpur,Malaysia,34537,27837,2016,10
Melbourne,London,UK,5171,4175,2016,10
Melbourne,Los Angeles,USA,24040,20756,2016,10
Melbourne,Manila,Philippines,3134,2158,2016,10
Melbourne,Nadi,Fiji,8749,8475,2016,10
Melbourne,New Delhi,India,3126,2366,2016,10
Melbourne,New York,USA,NA,NA,2016,10
Melbourne,Noumea,New Caledonia,1399,1391,2016,10
Melbourne,Osaka,Japan,230,197,2016,10
Melbourne,Phuket,Thailand,4114,3674,2016,10
Melbourne,Queenstown,New Zealand,3564,3383,2016,10
Melbourne,Shanghai,China,13110,11451,2016,10
Melbourne,Shenzhen,China,NA,NA,2016,10
Melbourne,Singapore,Singapore,56368,46100,2016,10
Melbourne,Surabaya,Indonesia,NA,NA,2016,10
Melbourne,Taipei,Taiwan,433,466,2016,10
Melbourne,Tokyo,Japan,5034,4588,2016,10
Melbourne,Wellington,New Zealand,10679,10977,2016,10
Norfolk Island,Auckland,New Zealand,417,439,2016,10
Perth,Abu Dhabi,United Arab Emirates,7917,5246,2016,10
Perth,Auckland,New Zealand,8145,8631,2016,10
Perth,Bangkok,Thailand,6723,4820,2016,10
Perth,Denpasar,Indonesia,42225,38020,2016,10
Perth,Doha,Qatar,9694,6065,2016,10
Perth,Dubai,United Arab Emirates,23459,13351,2016,10
Perth,Guangzhou,China,3295,2944,2016,10
Perth,Hong Kong,Hong Kong (SAR),10677,8966,2016,10
Perth,Jakarta,Indonesia,2531,2238,2016,10
Perth,Johannesburg,South Africa,6540,4946,2016,10
Perth,Kota Kinabalu,Malaysia,423,383,2016,10
Perth,Kuala Lumpur,Malaysia,20816,15659,2016,10
Perth,Mauritius,Mauritius,2529,1597,2016,10
Perth,Phuket,Thailand,3041,2232,2016,10
Perth,Singapore,Singapore,53242,44767,2016,10
Port Hedland,Denpasar,Indonesia,612,507,2016,10
Sunshine Coast,Auckland,New Zealand,1104,1133,2016,10
Sydney,Abu Dhabi,United Arab Emirates,24605,17045,2016,10
Sydney,Anchorage,USA,NA,NA,2016,10
Sydney,Apia,Western Samoa,1374,1306,2016,10
Sydney,Auckland,New Zealand,64173,70468,2016,10
Sydney,Bangkok,Thailand,25524,19968,2016,10
Sydney,Beijing,China,5400,5576,2016,10
Sydney,Chicago,USA,NA,NA,2016,10
Sydney,Chongqing,China,1962,1575,2016,10
Sydney,Christchurch,New Zealand,20716,22798,2016,10
Sydney,Dallas,USA,8669,9498,2016,10
Sydney,Denpasar,Indonesia,21828,20057,2016,10
Sydney,Dubai,United Arab Emirates,39348,23124,2016,10
Sydney,Guangzhou,China,16165,14981,2016,10
Sydney,Ho Chi Minh City,Vietnam,7885,6275,2016,10
Sydney,Hong Kong,Hong Kong (SAR),46189,41709,2016,10
Sydney,Honiara,Solomon Islands,255,197,2016,10
Sydney,Honolulu,USA,21337,17416,2016,10
Sydney,Jakarta,Indonesia,6550,5153,2016,10
Sydney,Johannesburg,South Africa,7865,6362,2016,10
Sydney,Kuala Lumpur,Malaysia,26962,19614,2016,10
Sydney,London,UK,13279,9990,2016,10
Sydney,Los Angeles,USA,41662,34837,2016,10
Sydney,Louisville,USA,NA,NA,2016,10
Sydney,Macau,Macau,NA,NA,2016,10
Sydney,Manila,Philippines,17043,13165,2016,10
Sydney,Nadi,Fiji,22651,20870,2016,10
Sydney,Nanjing,China,1581,1065,2016,10
Sydney,New Delhi,India,3756,2757,2016,10
Sydney,New York,USA,4434,3876,2016,10
Sydney,Noumea,New Caledonia,4051,3960,2016,10
Sydney,Osaka,Japan,153,NA,2016,10
Sydney,Phuket,Thailand,4155,3853,2016,10
Sydney,Port Moresby,Papua New Guinea,855,831,2016,10
Sydney,Port Vila,Vanuatu,2632,2161,2016,10
Sydney,Queenstown,New Zealand,7675,7544,2016,10
Sydney,Rarotonga,Cook Islands,1013,1052,2016,10
Sydney,San Francisco,USA,6596,5666,2016,10
Sydney,Santiago,Chile,9540,8740,2016,10
Sydney,Seoul,Korea,14902,12856,2016,10
Sydney,Shanghai,China,19752,17726,2016,10
Sydney,Shenzhen,China,NA,NA,2016,10
Sydney,Singapore,Singapore,71272,56421,2016,10
Sydney,Surabaya,Indonesia,NA,NA,2016,10
Sydney,Suva,Fiji,908,739,2016,10
Sydney,Taipei,Taiwan,3776,3952,2016,10
Sydney,Tokyo,Japan,17612,15896,2016,10
Sydney,Tongatapu,Tonga,1054,978,2016,10
Sydney,Toronto,Canada,1668,1049,2016,10
Sydney,Vancouver,Canada,6151,3978,2016,10
Sydney,Wellington,New Zealand,14235,15140,2016,10
Townsville,Denpasar,Indonesia,1815,1720,2016,10
Adelaide,Auckland,New Zealand,3388,3843,2016,11
Adelaide,Denpasar,Indonesia,2958,3376,2016,11
Adelaide,Dubai,United Arab Emirates,8009,7348,2016,11
Adelaide,Hong Kong,Hong Kong (SAR),4332,4269,2016,11
Adelaide,Kuala Lumpur,Malaysia,3718,3901,2016,11
Adelaide,Singapore,Singapore,7731,7968,2016,11
Brisbane,Abu Dhabi,United Arab Emirates,5930,6251,2016,11
Brisbane,Apia,Western Samoa,520,544,2016,11
Brisbane,Auckland,New Zealand,38497,42079,2016,11
Brisbane,Bangkok,Thailand,5387,6476,2016,11
Brisbane,Christchurch,New Zealand,8570,9138,2016,11
Brisbane,Denpasar,Indonesia,4294,4958,2016,11
Brisbane,Dubai,United Arab Emirates,14459,14442,2016,11
Brisbane,Dunedin,New Zealand,1786,2047,2016,11
Brisbane,Espiritu Santo,Vanuatu,297,262,2016,11
Brisbane,Guangzhou,China,6252,6322,2016,11
Brisbane,Hong Kong,Hong Kong (SAR),14988,15538,2016,11
Brisbane,Honiara,Solomon Islands,2054,2095,2016,11
Brisbane,Honolulu,USA,5320,5690,2016,11
Brisbane,Los Angeles,USA,17466,17074,2016,11
Brisbane,Manila,Philippines,1006,1062,2016,11
Brisbane,Nadi,Fiji,7497,7297,2016,11
Brisbane,Nauru,Nauru,947,983,2016,11
Brisbane,Noumea,New Caledonia,1750,1750,2016,11
Brisbane,Port Moresby,Papua New Guinea,7808,8139,2016,11
Brisbane,Port Vila,Vanuatu,2654,2576,2016,11
Brisbane,Queenstown,New Zealand,1119,1527,2016,11
Brisbane,Seoul,Korea,3540,3493,2016,11
Brisbane,Singapore,Singapore,31677,31983,2016,11
Brisbane,Taipei,Taiwan,3657,4520,2016,11
Brisbane,Tokyo,Japan,7736,6748,2016,11
Brisbane,Wellington,New Zealand,7239,7906,2016,11
Cairns,Auckland,New Zealand,86,161,2016,11
Cairns,Denpasar,Indonesia,844,1027,2016,11
Cairns,Hong Kong,Hong Kong (SAR),2887,2656,2016,11
Cairns,Osaka,Japan,4961,5625,2016,11
Cairns,Port Moresby,Papua New Guinea,3906,3899,2016,11
Cairns,Singapore,Singapore,1349,1826,2016,11
Cairns,Tokyo,Japan,7803,7873,2016,11
Darwin,Denpasar,Indonesia,3900,3594,2016,11
Darwin,Kuala Lumpur,Malaysia,868,951,2016,11
Darwin,Manila,Philippines,487,407,2016,11
Darwin,Singapore,Singapore,4014,4420,2016,11
Gold Coast,Auckland,New Zealand,10748,11851,2016,11
Gold Coast,Christchurch,New Zealand,2864,2871,2016,11
Gold Coast,Kuala Lumpur,Malaysia,7081,6696,2016,11
Gold Coast,Nadi,Fiji,1676,1653,2016,11
Gold Coast,Queenstown,New Zealand,1606,1725,2016,11
Gold Coast,Singapore,Singapore,5841,5842,2016,11
Gold Coast,Tokyo,Japan,4527,5583,2016,11
Gold Coast,Wellington,New Zealand,1907,1979,2016,11
Gold Coast,Wuhan,China,1800,1908,2016,11
Melbourne,Abu Dhabi,United Arab Emirates,17029,15396,2016,11
Melbourne,Anchorage,USA,NA,NA,2016,11
Melbourne,Auckland,New Zealand,50472,50148,2016,11
Melbourne,Bandar Seri Begawan,Brunei,4356,4858,2016,11
Melbourne,Bangkok,Thailand,15499,18436,2016,11
Melbourne,Beijing,China,5569,5551,2016,11
Melbourne,Chengdu,China,2545,2718,2016,11
Melbourne,Christchurch,New Zealand,14061,14113,2016,11
Melbourne,Denpasar,Indonesia,15420,14085,2016,11
Melbourne,Doha,Qatar,7572,8156,2016,11
Melbourne,Dubai,United Arab Emirates,19097,17404,2016,11
Melbourne,Guangzhou,China,13645,14421,2016,11
Melbourne,Ho Chi Minh City,Vietnam,6406,6877,2016,11
Melbourne,Hong Kong,Hong Kong (SAR),28673,29248,2016,11
Melbourne,Honolulu,USA,3583,3343,2016,11
Melbourne,Jakarta,Indonesia,2707,3055,2016,11
Melbourne,Kuala Lumpur,Malaysia,30526,30869,2016,11
Melbourne,London,UK,3602,3897,2016,11
Melbourne,Los Angeles,USA,21751,18817,2016,11
Melbourne,Manila,Philippines,2402,2558,2016,11
Melbourne,Nadi,Fiji,6176,5789,2016,11
Melbourne,New Delhi,India,2690,2781,2016,11
Melbourne,New York,USA,NA,NA,2016,11
Melbourne,Noumea,New Caledonia,1191,1314,2016,11
Melbourne,Osaka,Japan,97,115,2016,11
Melbourne,Phuket,Thailand,4140,4179,2016,11
Melbourne,Queenstown,New Zealand,4065,4487,2016,11
Melbourne,Shanghai,China,12562,12812,2016,11
Melbourne,Shenzhen,China,NA,NA,2016,11
Melbourne,Singapore,Singapore,56143,53690,2016,11
Melbourne,Taipei,Taiwan,1485,1736,2016,11
Melbourne,Tokyo,Japan,4464,5009,2016,11
Melbourne,Wellington,New Zealand,11129,11906,2016,11
Norfolk Island,Auckland,New Zealand,575,560,2016,11
Perth,Abu Dhabi,United Arab Emirates,6353,6021,2016,11
Perth,Auckland,New Zealand,8877,9250,2016,11
Perth,Bangkok,Thailand,4978,5101,2016,11
Perth,Denpasar,Indonesia,26404,24056,2016,11
Perth,Doha,Qatar,7277,7518,2016,11
Perth,Dubai,United Arab Emirates,18680,15320,2016,11
Perth,Guangzhou,China,2623,2581,2016,11
Perth,Hong Kong,Hong Kong (SAR),9866,9230,2016,11
Perth,Jakarta,Indonesia,1975,2303,2016,11
Perth,Johannesburg,South Africa,4761,5392,2016,11
Perth,Kota Kinabalu,Malaysia,462,443,2016,11
Perth,Kuala Lumpur,Malaysia,18935,17847,2016,11
Perth,Mauritius,Mauritius,1690,1860,2016,11
Perth,Phuket,Thailand,2302,2489,2016,11
Perth,Singapore,Singapore,45935,47441,2016,11
Port Hedland,Denpasar,Indonesia,76,163,2016,11
Sydney,Abu Dhabi,United Arab Emirates,18369,18517,2016,11
Sydney,Anchorage,USA,NA,NA,2016,11
Sydney,Apia,Western Samoa,1140,1050,2016,11
Sydney,Auckland,New Zealand,66030,71489,2016,11
Sydney,Bangkok,Thailand,21963,23265,2016,11
Sydney,Beijing,China,5775,8318,2016,11
Sydney,Chicago,USA,NA,NA,2016,11
Sydney,Chongqing,China,1539,1568,2016,11
Sydney,Christchurch,New Zealand,22829,25230,2016,11
Sydney,Cincinnati,USA,NA,NA,2016,11
Sydney,Dallas,USA,7448,9179,2016,11
Sydney,Denpasar,Indonesia,14531,15915,2016,11
Sydney,Dubai,United Arab Emirates,30562,26572,2016,11
Sydney,Fuzhou,China,177,212,2016,11
Sydney,Guangzhou,China,17806,19379,2016,11
Sydney,Ho Chi Minh City,Vietnam,6337,7364,2016,11
Sydney,Hong Kong,Hong Kong (SAR),44361,44756,2016,11
Sydney,Honiara,Solomon Islands,295,176,2016,11
Sydney,Honolulu,USA,16221,16128,2016,11
Sydney,Jakarta,Indonesia,6417,6412,2016,11
Sydney,Johannesburg,South Africa,6312,5704,2016,11
Sydney,Kuala Lumpur,Malaysia,21731,22344,2016,11
Sydney,London,UK,11011,9624,2016,11
Sydney,Los Angeles,USA,36060,34236,2016,11
Sydney,Louisville,USA,NA,NA,2016,11
Sydney,Manila,Philippines,14005,13982,2016,11
Sydney,Nadi,Fiji,20191,19178,2016,11
Sydney,Nanjing,China,1119,1363,2016,11
Sydney,New Delhi,India,3189,3149,2016,11
Sydney,New York,USA,3241,2980,2016,11
Sydney,Noumea,New Caledonia,3839,3900,2016,11
Sydney,Osaka,Japan,85,NA,2016,11
Sydney,Phuket,Thailand,4124,4185,2016,11
Sydney,Port Moresby,Papua New Guinea,707,803,2016,11
Sydney,Port Vila,Vanuatu,2233,2231,2016,11
Sydney,Queenstown,New Zealand,8752,9461,2016,11
Sydney,Rarotonga,Cook Islands,688,764,2016,11
Sydney,San Francisco,USA,6458,6046,2016,11
Sydney,Santiago,Chile,9815,8371,2016,11
Sydney,Seoul,Korea,14820,15133,2016,11
Sydney,Shanghai,China,18712,18688,2016,11
Sydney,Shenzhen,China,NA,NA,2016,11
Sydney,Singapore,Singapore,58845,57444,2016,11
Sydney,Suva,Fiji,875,760,2016,11
Sydney,Taipei,Taiwan,3977,4572,2016,11
Sydney,Tokyo,Japan,16127,17148,2016,11
Sydney,Tongatapu,Tonga,958,1089,2016,11
Sydney,Toronto,Canada,1524,1278,2016,11
Sydney,Vancouver,Canada,4944,5203,2016,11
Sydney,Vientiane,Laos,NA,NA,2016,11
Sydney,Wellington,New Zealand,14290,14743,2016,11
Townsville,Denpasar,Indonesia,348,881,2016,11
Adelaide,Auckland,New Zealand,3381,3968,2016,12
Adelaide,Denpasar,Indonesia,5862,7626,2016,12
Adelaide,Dubai,United Arab Emirates,9278,9855,2016,12
Adelaide,Hong Kong,Hong Kong (SAR),4691,5467,2016,12
Adelaide,Kuala Lumpur,Malaysia,3719,4526,2016,12
Adelaide,Singapore,Singapore,9195,11956,2016,12
Brisbane,Abu Dhabi,United Arab Emirates,6725,7234,2016,12
Brisbane,Apia,Western Samoa,685,970,2016,12
Brisbane,Auckland,New Zealand,41558,47951,2016,12
Brisbane,Bangkok,Thailand,6466,7538,2016,12
Brisbane,Christchurch,New Zealand,10345,11255,2016,12
Brisbane,Denpasar,Indonesia,9490,12404,2016,12
Brisbane,Dubai,United Arab Emirates,18699,19676,2016,12
Brisbane,Dunedin,New Zealand,1828,2442,2016,12
Brisbane,Espiritu Santo,Vanuatu,233,489,2016,12
Brisbane,Guangzhou,China,7027,7237,2016,12
Brisbane,Hong Kong,Hong Kong (SAR),15491,17569,2016,12
Brisbane,Honiara,Solomon Islands,2194,2237,2016,12
Brisbane,Honolulu,USA,6601,7190,2016,12
Brisbane,Los Angeles,USA,17213,20698,2016,12
Brisbane,Manila,Philippines,1376,1821,2016,12
Brisbane,Nadi,Fiji,8441,9985,2016,12
Brisbane,Nauru,Nauru,920,912,2016,12
Brisbane,Noumea,New Caledonia,2854,2137,2016,12
Brisbane,Port Moresby,Papua New Guinea,8850,7404,2016,12
Brisbane,Port Vila,Vanuatu,2619,3343,2016,12
Brisbane,Queenstown,New Zealand,2173,2748,2016,12
Brisbane,Seoul,Korea,6330,7217,2016,12
Brisbane,Singapore,Singapore,33722,41778,2016,12
Brisbane,Taipei,Taiwan,4457,7032,2016,12
Brisbane,Tokyo,Japan,7192,8596,2016,12
Brisbane,Wellington,New Zealand,9163,10480,2016,12
Cairns,Auckland,New Zealand,241,425,2016,12
Cairns,Denpasar,Indonesia,1428,2082,2016,12
Cairns,Hong Kong,Hong Kong (SAR),2546,2302,2016,12
