airline,country,n_flights_in,n_passengers_in,n_seats_in,n_flights_out,n_passengers_out,year,month
Air Caledonie International,New Caledonia,48,8045,8592,47,7058,2016,1
Air Canada,Canada,31,8094,8935,31,6804,2016,1
Air China,China,110,24190,27900,110,19933,2016,1
Air India,India,31,7620,7936,31,6396,2016,1
Air Mauritius,Mauritius,13,3489,3600,14,3407,2016,1
Air New Zealand,Cook Islands,5,1094,1144,5,921,2016,1
Air New Zealand,New Zealand,726,126246,151162,721,120009,2016,1
Air Niugini,Papua New Guinea,114,7690,15606,112,8357,2016,1
Air Vanuatu,Vanuatu,38,3898,6460,38,3500,2016,1
AirAsia X,Malaysia,217,75692,81809,218,58996,2016,1
All Nippon Airways,Japan,31,6311,6665,31,5941,2016,1
American Airlines,USA,31,9199,9610,31,7135,2016,1
Asiana Airlines,Korea,31,7250,9393,31,7582,2016,1
British Airways,UK,31,8831,9207,31,7828,2016,1
Cathay Pacific Airways,Hong Kong (SAR),340,86094,89039,340,74301,2016,1
Cebu Pacific Air,Philippines,22,9266,9592,22,6325,2016,1
China Airlines,New Zealand,63,18018,20899,63,18692,2016,1
China Airlines,Taiwan,63,19351,20682,63,15925,2016,1
China Eastern Airlines,China,160,35429,39529,159,26094,2016,1
China Southern Airlines,China,237,58770,70888,237,53364,2016,1
Delta Air Lines,USA,31,8579,9021,31,7264,2016,1
Emirates,New Zealand,124,51781,56296,124,50816,2016,1
Emirates,United Arab Emirates,350,139402,142994,349,118001,2016,1
Etihad Airways,United Arab Emirates,173,56244,57023,173,47613,2016,1
Eva Air,Taiwan,13,3038,3276,13,2631,2016,1
Federal Express Corporation,China,NA,NA,NA,27,NA,2016,1
Federal Express Corporation,USA,27,NA,NA,NA,NA,2016,1
Fiji Airways,Fiji,148,25646,27740,149,20642,2016,1
Garuda Indonesia,Indonesia,147,30445,32656,147,22732,2016,1
Hainan Airlines,China,9,2101,2250,8,1284,2016,1
Hawaiian Airlines,USA,48,13092,14064,48,10320,2016,1
Hong Kong Airlines,Hong Kong (SAR),11,2494,3212,11,1433,2016,1
Indonesia AirAsia,Indonesia,125,17625,22500,125,13627,2016,1
Indonesia AirAsia Extra,Indonesia,46,13859,17342,46,10631,2016,1
Japan Airlines,Japan,31,7249,7564,31,6535,2016,1
Jetstar,China,9,1802,3015,9,1453,2016,1
Jetstar,Fiji,31,4865,5580,31,3778,2016,1
Jetstar,Indonesia,254,55141,60135,253,43792,2016,1
Jetstar,Japan,102,29145,34170,102,25580,2016,1
Jetstar,New Zealand,341,53574,62000,339,50114,2016,1
Jetstar,Singapore,54,12147,13285,54,10721,2016,1
Jetstar,Thailand,40,12638,13400,40,11448,2016,1
Jetstar,USA,55,15849,18425,55,12198,2016,1
Jetstar Asia,Singapore,88,13457,15840,89,12151,2016,1
Korean Air,Korea,61,19368,20596,61,16266,2016,1
LATAM Airlines,Chile,30,8575,9270,30,8459,2016,1
Malaysia Airlines,Malaysia,195,48150,51603,196,36304,2016,1
Malindo Air,Malaysia,49,6531,8010,49,3575,2016,1
Nauru Airlines,Nauru,17,894,2176,22,874,2016,1
Pacific Air Express,Nauru,NA,NA,NA,1,NA,2016,1
Pacific Air Express,Papua New Guinea,4,NA,NA,4,NA,2016,1
Pacific Air Express,Solomon Islands,3,NA,NA,NA,NA,2016,1
Pacific Air Express,Vanuatu,NA,NA,NA,3,NA,2016,1
Philippine Airlines,New Zealand,17,1321,2652,17,1968,2016,1
Philippine Airlines,Philippines,76,15262,18961,75,11281,2016,1
Polar Air Cargo,China,NA,NA,NA,9,NA,2016,1
Polar Air Cargo,Japan,12,NA,NA,4,NA,2016,1
Polar Air Cargo,USA,5,NA,NA,NA,NA,2016,1
Qantas Airways,Canada,11,3750,3948,11,3357,2016,1
Qantas Airways,Chile,22,6539,7937,22,6822,2016,1
Qantas Airways,China,32,8449,9207,32,6528,2016,1
Qantas Airways,Hong Kong (SAR),117,35987,38657,117,28412,2016,1
Qantas Airways,Indonesia,39,7693,8443,39,5932,2016,1
Qantas Airways,Japan,62,19446,20280,62,16493,2016,1
Qantas Airways,New Caledonia,19,2991,3176,19,2592,2016,1
Qantas Airways,New Zealand,524,77065,84928,526,76384,2016,1
Qantas Airways,Papua New Guinea,49,1864,3626,50,2202,2016,1
Qantas Airways,Philippines,23,6420,6831,23,5543,2016,1
Qantas Airways,Singapore,157,37532,39764,157,34352,2016,1
Qantas Airways,South Africa,31,10546,11229,31,9613,2016,1
Qantas Airways,Thailand,31,8814,9135,34,8134,2016,1
Qantas Airways,UK,62,28792,30008,62,24352,2016,1
Qantas Airways,USA,217,71146,77377,214,63327,2016,1
Qatar Airways,Qatar,62,21214,22048,62,19579,2016,1
Royal Brunei Airlines,Brunei,31,7284,7874,31,6424,2016,1
Scoot,Singapore,111,37057,41625,111,30464,2016,1
Sichuan Airlines,China,22,4792,5915,22,3660,2016,1
Silk Air,Singapore,30,4286,4860,30,3231,2016,1
Singapore Airlines,New Zealand,8,NA,NA,12,NA,2016,1
Singapore Airlines,Singapore,579,152566,159867,575,129431,2016,1
Solomon Airlines,Solomon Islands,22,1576,2992,22,1249,2016,1
South African Airways,South Africa,31,8036,8525,31,7598,2016,1
Tasman Cargo Airlines,New Zealand,14,NA,NA,14,NA,2016,1
Thai Airways International,Thailand,169,49600,52444,169,32939,2016,1
United Airlines,USA,93,22567,24490,91,19306,2016,1
United Parcel Service,China,NA,NA,NA,26,NA,2016,1
United Parcel Service,Singapore,NA,NA,NA,7,NA,2016,1
United Parcel Service,USA,30,NA,NA,NA,NA,2016,1
Vietnam Airlines,Vietnam,62,16817,18245,62,16001,2016,1
Virgin Australia,Fiji,95,15595,17032,95,12561,2016,1
Virgin Australia,Indonesia,177,27866,31152,177,23872,2016,1
Virgin Australia,New Zealand,368,51101,64666,368,49502,2016,1
Virgin Australia,Papua New Guinea,26,1872,4540,26,2638,2016,1
Virgin Australia,Solomon Islands,12,679,2106,12,729,2016,1
Virgin Australia,Thailand,22,3196,3758,23,2327,2016,1
Virgin Australia,Tonga,8,1182,1408,8,993,2016,1
Virgin Australia,United Arab Emirates,13,4551,4693,13,3541,2016,1
Virgin Australia,USA,62,21552,22382,62,17689,2016,1
Virgin Australia,Vanuatu,17,2733,2992,17,2193,2016,1
Virgin Samoa,Western Samoa,21,2813,3684,21,2657,2016,1
Xiamen Airlines,China,22,4255,5192,22,3835,2016,1
Air Caledonie International,New Caledonia,39,3515,6942,39,5724,2016,2
Air Canada,Canada,29,7300,8407,29,5841,2016,2
Air China,China,102,22571,25917,102,20525,2016,2
Air India,India,29,6905,7424,29,5757,2016,2
Air Mauritius,Mauritius,9,2010,2475,9,1266,2016,2
Air New Zealand,Cook Islands,4,565,905,4,533,2016,2
Air New Zealand,New Zealand,612,105697,128577,612,108764,2016,2
Air Niugini,Papua New Guinea,108,7225,13934,109,6938,2016,2
Air Vanuatu,Vanuatu,26,2589,4420,25,2706,2016,2
AirAsia X,Malaysia,169,59680,63713,167,45807,2016,2
All Nippon Airways,Japan,29,6030,6235,29,5422,2016,2
American Airlines,USA,29,7744,8990,29,5923,2016,2
Asiana Airlines,Korea,29,6721,8787,29,6606,2016,2
British Airways,UK,28,7792,8316,28,6872,2016,2
Cathay Pacific Airways,Hong Kong (SAR),320,79038,83689,320,71694,2016,2
Cebu Pacific Air,Philippines,20,6609,8720,20,3911,2016,2
China Airlines,New Zealand,58,14145,19118,58,15999,2016,2
China Airlines,Taiwan,58,17116,18915,58,15133,2016,2
China Eastern Airlines,China,165,36264,42159,165,32631,2016,2
China Southern Airlines,China,219,56522,65721,219,54666,2016,2
Delta Air Lines,USA,29,7824,8439,29,5888,2016,2
Emirates,New Zealand,116,46102,52546,116,49729,2016,2
Emirates,United Arab Emirates,336,124068,132899,325,91258,2016,2
Etihad Airways,United Arab Emirates,162,49680,53397,162,42829,2016,2
Eva Air,Taiwan,8,1814,2016,8,1661,2016,2
Federal Express Corporation,China,NA,NA,NA,27,NA,2016,2
Federal Express Corporation,USA,27,NA,NA,NA,NA,2016,2
Fiji Airways,Fiji,86,11470,16029,89,10861,2016,2
Garuda Indonesia,Indonesia,108,18149,24572,108,14156,2016,2
Hainan Airlines,China,8,1764,2000,8,1806,2016,2
Hawaiian Airlines,USA,37,6446,10841,37,6105,2016,2
Hong Kong Airlines,Hong Kong (SAR),11,2062,3212,11,2515,2016,2
Indonesia AirAsia,Indonesia,116,13190,20880,116,12121,2016,2
Indonesia AirAsia Extra,Indonesia,41,8186,15457,41,7263,2016,2
Japan Airlines,Japan,29,6834,7076,29,6023,2016,2
Jetstar,China,8,2030,2680,8,1777,2016,2
Jetstar,Fiji,27,2929,4860,26,2717,2016,2
Jetstar,Indonesia,190,37111,46135,191,35125,2016,2
Jetstar,Japan,96,30062,32160,96,24860,2016,2
Jetstar,New Zealand,243,36012,44050,243,36017,2016,2
Jetstar,Singapore,77,15745,17735,78,12982,2016,2
Jetstar,Thailand,37,11365,12395,37,10419,2016,2
Jetstar,USA,39,9724,13065,40,9025,2016,2
Jetstar Asia,Singapore,49,7533,8820,49,6466,2016,2
Korean Air,Korea,53,16470,18182,53,14443,2016,2
LATAM Airlines,Chile,29,7667,8895,29,8174,2016,2
Malaysia Airlines,Malaysia,185,40782,48037,185,29693,2016,2
Malindo Air,Malaysia,46,5678,7470,46,3022,2016,2
Nauru Airlines,Nauru,21,814,2176,21,784,2016,2
Pacific Air Express,Nauru,NA,NA,NA,8,NA,2016,2
Pacific Air Express,Papua New Guinea,8,NA,NA,8,NA,2016,2
Pacific Air Express,Solomon Islands,4,NA,NA,NA,NA,2016,2
Pacific Air Express,Vanuatu,NA,NA,NA,4,NA,2016,2
Philippine Airlines,New Zealand,17,1003,2652,17,1768,2016,2
Philippine Airlines,Philippines,70,12357,16852,70,9180,2016,2
Polar Air Cargo,China,NA,NA,NA,9,NA,2016,2
Polar Air Cargo,Japan,12,NA,NA,4,NA,2016,2
Polar Air Cargo,USA,4,NA,NA,NA,NA,2016,2
Qantas Airways,Chile,17,5146,6054,17,5348,2016,2
Qantas Airways,China,30,6908,8604,30,7105,2016,2
Qantas Airways,Hong Kong (SAR),109,30660,35810,110,27933,2016,2
Qantas Airways,Indonesia,14,3127,3713,14,2138,2016,2
Qantas Airways,Japan,59,18805,19335,59,16589,2016,2
Qantas Airways,New Caledonia,17,1761,2856,17,2388,2016,2
Qantas Airways,New Zealand,453,62143,72971,453,65057,2016,2
Qantas Airways,Papua New Guinea,48,1739,3552,48,1722,2016,2
Qantas Airways,Philippines,21,5904,6228,21,5093,2016,2
Qantas Airways,Singapore,145,34590,37145,144,28638,2016,2
Qantas Airways,South Africa,25,8094,8956,25,6286,2016,2
Qantas Airways,Thailand,29,7783,8303,33,7792,2016,2
Qantas Airways,UK,57,24242,27585,57,20194,2016,2
Qantas Airways,United Arab Emirates,1,368,484,1,298,2016,2
Qantas Airways,USA,183,53104,65655,180,44724,2016,2
Qatar Airways,Qatar,58,17463,20051,58,15885,2016,2
Royal Brunei Airlines,Brunei,29,6984,7366,29,4343,2016,2
Scoot,Singapore,92,29276,34500,93,22794,2016,2
Sichuan Airlines,China,21,4853,5608,21,4282,2016,2
Silk Air,Singapore,23,2905,3726,23,2619,2016,2
Singapore Airlines,New Zealand,7,NA,NA,8,NA,2016,2
Singapore Airlines,Singapore,500,128811,139131,499,107618,2016,2
Solomon Airlines,Solomon Islands,20,1300,2720,20,1234,2016,2
South African Airways,South Africa,29,5419,7451,29,5276,2016,2
Tasman Cargo Airlines,New Zealand,21,NA,NA,21,NA,2016,2
Thai Airways International,Thailand,157,42241,47646,157,30711,2016,2
United Airlines,USA,87,20268,22910,85,16619,2016,2
United Parcel Service,China,NA,NA,NA,13,NA,2016,2
United Parcel Service,Singapore,NA,NA,NA,4,NA,2016,2
United Parcel Service,USA,26,NA,NA,8,NA,2016,2
Vietnam Airlines,Vietnam,58,16057,17048,58,12172,2016,2
Virgin Australia,Fiji,70,8266,12302,70,8314,2016,2
Virgin Australia,Indonesia,160,20762,28154,159,22447,2016,2
Virgin Australia,New Zealand,320,45439,56314,320,47607,2016,2
Virgin Australia,Papua New Guinea,25,1854,4382,25,1924,2016,2
Virgin Australia,Solomon Islands,8,679,1408,8,529,2016,2
Virgin Australia,Thailand,1,138,170,NA,NA,2016,2
Virgin Australia,Tonga,8,991,1408,9,833,2016,2
Virgin Australia,United Arab Emirates,1,343,361,NA,NA,2016,2
Virgin Australia,USA,57,16451,20577,58,12895,2016,2
Virgin Samoa,Western Samoa,8,1050,1408,8,1103,2016,2
Xiamen Airlines,China,28,5462,6608,28,4816,2016,2
Air Caledonie International,New Caledonia,36,4386,6367,36,4532,2016,3
Air Canada,Canada,31,6725,9098,31,7529,2016,3
Air China,China,82,13547,20841,82,14672,2016,3
Air India,India,31,5915,7936,31,5235,2016,3
Air Mauritius,Mauritius,9,1622,2475,9,1988,2016,3
Air New Zealand,Cook Islands,4,628,905,4,784,2016,3
Air New Zealand,New Zealand,639,118734,133421,636,110596,2016,3
Air Niugini,Papua New Guinea,114,7640,15447,113,7551,2016,3
Air Vanuatu,Vanuatu,27,2793,4590,28,3448,2016,3
AirAsia X,Malaysia,183,53159,68991,184,50344,2016,3
AirAsia X,New Zealand,9,2212,3393,9,2998,2016,3
All Nippon Airways,Japan,31,5685,6665,31,6285,2016,3
American Airlines,USA,31,6141,9610,31,6820,2016,3
Asiana Airlines,Korea,31,6779,9393,31,7444,2016,3
British Airways,UK,31,7456,9207,31,8271,2016,3
Cathay Pacific Airways,Hong Kong (SAR),339,77514,88277,339,81048,2016,3
Cebu Pacific Air,Philippines,23,6096,10028,23,5433,2016,3
China Airlines,New Zealand,58,14388,17789,58,14496,2016,3
China Airlines,Taiwan,60,14058,18193,60,15556,2016,3
China Eastern Airlines,China,116,23066,27142,116,21426,2016,3
China Southern Airlines,China,214,45982,57778,214,44532,2016,3
Delta Air Lines,USA,31,7050,9021,31,7312,2016,3
Emirates,New Zealand,124,51836,56316,124,49290,2016,3
Emirates,United Arab Emirates,356,100175,145925,356,113966,2016,3
Etihad Airways,United Arab Emirates,172,39056,56695,172,48727,2016,3
Eva Air,Taiwan,9,1794,2268,9,1878,2016,3
Federal Express Corporation,China,NA,NA,NA,27,NA,2016,3
Federal Express Corporation,USA,27,NA,NA,NA,NA,2016,3
Fiji Airways,Fiji,123,15842,22976,124,18380,2016,3
Garuda Indonesia,Indonesia,122,16748,27547,122,19831,2016,3
Hainan Airlines,China,7,1549,1786,7,1198,2016,3
Hawaiian Airlines,USA,44,6359,12892,44,9530,2016,3
Hong Kong Airlines,Hong Kong (SAR),9,1971,2628,9,1726,2016,3
Indonesia AirAsia,Indonesia,117,13840,21060,118,13868,2016,3
Indonesia AirAsia Extra,Indonesia,41,8347,15457,41,10044,2016,3
Japan Airlines,Japan,31,6345,7564,31,7172,2016,3
Jetstar,China,9,2302,3015,9,2093,2016,3
Jetstar,Fiji,31,3357,5580,31,3348,2016,3
Jetstar,Indonesia,211,40679,52395,210,42310,2016,3
Jetstar,Japan,99,25399,33165,99,29279,2016,3
Jetstar,New Zealand,258,40033,47215,259,38209,2016,3
Jetstar,Singapore,51,9596,12590,52,10384,2016,3
Jetstar,Thailand,43,11714,14405,43,12242,2016,3
Jetstar,USA,50,10155,16750,50,10831,2016,3
Jetstar Asia,Singapore,76,9900,13680,76,9923,2016,3
Korean Air,Korea,49,12012,17392,49,13969,2016,3
LATAM Airlines,Chile,31,8441,9579,31,7566,2016,3
Malaysia Airlines,Malaysia,193,29578,50222,192,30041,2016,3
Malindo Air,Malaysia,48,4187,7776,48,3771,2016,3
Nauru Airlines,Nauru,21,905,2176,21,791,2016,3
Pacific Air Express,Papua New Guinea,9,NA,NA,9,NA,2016,3
Pacific Air Express,Solomon Islands,5,NA,NA,NA,NA,2016,3
Pacific Air Express,Vanuatu,NA,NA,NA,5,NA,2016,3
Philippine Airlines,New Zealand,17,1065,2652,18,1301,2016,3
Philippine Airlines,Philippines,75,10547,17989,74,11018,2016,3
Polar Air Cargo,China,NA,NA,NA,8,NA,2016,3
Polar Air Cargo,Japan,14,NA,NA,6,NA,2016,3
Polar Air Cargo,USA,4,NA,NA,NA,NA,2016,3
Qantas Airways,Chile,17,4842,6144,17,5077,2016,3
Qantas Airways,China,35,7096,9021,36,6658,2016,3
Qantas Airways,Hong Kong (SAR),118,30669,36140,118,27425,2016,3
Qantas Airways,Indonesia,17,3224,4578,17,3126,2016,3
Qantas Airways,Japan,62,17771,20381,62,19094,2016,3
Qantas Airways,New Caledonia,16,2063,2672,16,2000,2016,3
Qantas Airways,New Zealand,446,63195,71845,446,61365,2016,3
Qantas Airways,Papua New Guinea,54,1893,3996,54,1916,2016,3
Qantas Airways,Philippines,21,5652,6096,21,5618,2016,3
Qantas Airways,Singapore,155,33253,39699,156,32364,2016,3
Qantas Airways,South Africa,26,8405,9399,26,7885,2016,3
Qantas Airways,Thailand,31,7856,9198,34,8076,2016,3
Qantas Airways,UK,61,20264,29523,61,25598,2016,3
Qantas Airways,United Arab Emirates,1,102,484,1,329,2016,3
Qantas Airways,USA,204,48426,70846,200,59633,2016,3
Qatar Airways,Qatar,92,20389,31373,92,28486,2016,3
Royal Brunei Airlines,Brunei,29,4877,7262,29,4591,2016,3
Scoot,Singapore,93,26541,34875,92,25254,2016,3
Sichuan Airlines,China,22,4386,6014,22,3799,2016,3
Silk Air,Singapore,25,2341,4038,25,2994,2016,3
Singapore Airlines,New Zealand,8,NA,NA,13,NA,2016,3
Singapore Airlines,Singapore,530,115266,146285,530,122861,2016,3
Solomon Airlines,Solomon Islands,17,1258,2312,17,1252,2016,3
South African Airways,South Africa,31,5828,7823,31,6904,2016,3
Tasman Cargo Airlines,New Zealand,21,NA,NA,21,NA,2016,3
Thai Airways International,Thailand,168,34053,50693,167,34542,2016,3
Tigerair Australia,Indonesia,10,995,1800,21,3282,2016,3
United Airlines,USA,92,17792,24017,91,20293,2016,3
United Parcel Service,China,NA,NA,NA,25,NA,2016,3
United Parcel Service,Singapore,NA,NA,NA,4,NA,2016,3
United Parcel Service,USA,30,NA,NA,NA,NA,2016,3
Vietnam Airlines,Vietnam,62,15459,18243,62,13368,2016,3
Virgin Australia,Fiji,83,10028,14707,83,11095,2016,3
Virgin Australia,Indonesia,148,19049,26048,148,20642,2016,3
Virgin Australia,New Zealand,347,52869,61066,347,50485,2016,3
Virgin Australia,Papua New Guinea,27,2074,4728,27,2386,2016,3
Virgin Australia,Solomon Islands,10,703,1754,10,617,2016,3
Virgin Australia,Tonga,10,1074,1760,9,734,2016,3
Virgin Australia,USA,62,14032,22382,62,17021,2016,3
Virgin Samoa,Western Samoa,10,1235,1760,10,1250,2016,3
Xiamen Airlines,China,22,4200,5192,22,3048,2016,3
Air Caledonie International,New Caledonia,31,3980,5767,32,4310,2016,4
Air Canada,Canada,30,5314,8760,30,7435,2016,4
Air China,China,65,13050,16441,65,13264,2016,4
Air India,India,30,6496,7680,29,5139,2016,4
Air Mauritius,Mauritius,9,2082,2475,8,2012,2016,4
Air New Zealand,Cook Islands,5,838,1136,5,919,2016,4
Air New Zealand,New Zealand,610,111884,126704,607,97824,2016,4
Air Niugini,Papua New Guinea,111,7939,15081,111,7460,2016,4
Air Vanuatu,Vanuatu,32,3857,5440,32,3882,2016,4
AirAsia X,Malaysia,185,54187,69745,185,49117,2016,4
AirAsia X,New Zealand,30,7797,11310,30,7359,2016,4
All Nippon Airways,Japan,30,5440,6450,30,5169,2016,4
American Airlines,USA,30,5389,9300,30,6895,2016,4
Asiana Airlines,Korea,30,6860,9090,30,7305,2016,4
British Airways,UK,30,7251,8910,30,8005,2016,4
Cathay Pacific Airways,Hong Kong (SAR),325,75419,84820,325,78612,2016,4
Cebu Pacific Air,Philippines,21,5531,9156,21,4628,2016,4
China Airlines,New Zealand,30,6770,9197,30,6445,2016,4
China Airlines,Taiwan,43,10203,12978,43,10222,2016,4
China Eastern Airlines,China,112,23386,26150,112,22427,2016,4
China Southern Airlines,China,193,41728,51231,193,40376,2016,4
Delta Air Lines,USA,30,7176,8730,30,7421,2016,4
Emirates,New Zealand,120,50781,54556,120,41267,2016,4
Emirates,United Arab Emirates,344,91223,142241,343,113652,2016,4
Etihad Airways,United Arab Emirates,167,35939,55046,167,47247,2016,4
Eva Air,Taiwan,9,1927,2268,9,1951,2016,4
Federal Express Corporation,China,NA,NA,NA,25,NA,2016,4
Federal Express Corporation,USA,25,NA,NA,NA,NA,2016,4
Fiji Airways,Fiji,129,17257,24577,131,17188,2016,4
Garuda Indonesia,Indonesia,130,20708,31009,130,19929,2016,4
Hawaiian Airlines,USA,47,9938,13771,47,9810,2016,4
Hong Kong Airlines,Hong Kong (SAR),9,1577,2628,9,1811,2016,4
Indonesia AirAsia,Indonesia,119,14440,21420,118,13653,2016,4
Indonesia AirAsia Extra,Indonesia,43,10490,16211,43,10438,2016,4
Japan Airlines,Japan,30,6253,7320,30,5739,2016,4
Jetstar,China,9,1776,3015,9,1920,2016,4
Jetstar,Fiji,30,3513,5400,30,3338,2016,4
Jetstar,Indonesia,220,44356,53085,221,44164,2016,4
Jetstar,Japan,82,23165,27470,82,20601,2016,4
Jetstar,New Zealand,257,42351,47810,257,35548,2016,4
Jetstar,Singapore,54,10926,13440,54,10593,2016,4
Jetstar,Thailand,55,14549,18425,55,14944,2016,4
Jetstar,USA,55,13512,18425,55,11752,2016,4
Jetstar Asia,Singapore,74,9545,13320,73,8517,2016,4
Korean Air,Korea,47,10823,12565,47,11330,2016,4
LATAM Airlines,Chile,30,8324,9270,30,8033,2016,4
Malaysia Airlines,Malaysia,190,32549,48919,186,31765,2016,4
Malindo Air,Malaysia,52,4991,8424,52,3924,2016,4
Nauru Airlines,Nauru,13,768,1664,16,774,2016,4
Pacific Air Express,Papua New Guinea,8,NA,NA,8,NA,2016,4
Pacific Air Express,Solomon Islands,4,NA,NA,4,NA,2016,4
Philippine Airlines,New Zealand,17,1447,2652,17,1504,2016,4
Philippine Airlines,Philippines,77,12846,18787,77,11998,2016,4
Polar Air Cargo,China,NA,NA,NA,9,NA,2016,4
Polar Air Cargo,Japan,13,NA,NA,9,NA,2016,4
Polar Air Cargo,USA,6,NA,NA,NA,NA,2016,4
Qantas Airways,Chile,17,5109,6155,17,4567,2016,4
Qantas Airways,China,34,7662,8412,36,6974,2016,4
Qantas Airways,Hong Kong (SAR),121,31308,36698,122,30502,2016,4
Qantas Airways,Indonesia,17,3495,4411,17,3518,2016,4
Qantas Airways,Japan,60,18148,19710,60,15962,2016,4
Qantas Airways,New Caledonia,18,2452,3024,18,2360,2016,4
Qantas Airways,New Zealand,466,67406,75029,466,57719,2016,4
Qantas Airways,Papua New Guinea,51,2034,3774,51,1902,2016,4
Qantas Airways,Philippines,22,5539,5914,22,5457,2016,4
Qantas Airways,Singapore,152,33211,39563,152,32823,2016,4
Qantas Airways,South Africa,26,8661,9408,26,8622,2016,4
Qantas Airways,Thailand,30,7351,8839,31,7822,2016,4
Qantas Airways,UK,58,19301,28072,59,25912,2016,4
Qantas Airways,USA,200,55489,69874,198,61946,2016,4
Qatar Airways,Qatar,90,19666,31630,90,30230,2016,4
Royal Brunei Airlines,Brunei,30,4389,7620,30,5178,2016,4
Scoot,Singapore,93,26277,34875,94,24361,2016,4
Sichuan Airlines,China,22,4355,5655,22,4071,2016,4
Silk Air,Singapore,26,2658,4212,26,3422,2016,4
Singapore Airlines,New Zealand,8,NA,NA,12,NA,2016,4
Singapore Airlines,Singapore,508,118046,144862,502,123097,2016,4
Solomon Airlines,Solomon Islands,17,1227,2312,18,1352,2016,4
South African Airways,South Africa,30,6885,8484,30,6724,2016,4
Tasman Cargo Airlines,New Zealand,21,NA,NA,22,NA,2016,4
Thai Airways International,Thailand,167,39287,50715,167,34898,2016,4
Tigerair Australia,Indonesia,82,9701,14760,82,11759,2016,4
United Airlines,USA,89,16621,22395,89,18839,2016,4
United Parcel Service,China,NA,NA,NA,21,NA,2016,4
United Parcel Service,Singapore,NA,NA,NA,5,NA,2016,4
United Parcel Service,USA,26,NA,NA,NA,NA,2016,4
Vietnam Airlines,Vietnam,60,14486,17598,60,11406,2016,4
Virgin Australia,Fiji,91,11843,16412,91,11880,2016,4
Virgin Australia,Indonesia,86,10411,15136,87,11729,2016,4
Virgin Australia,New Zealand,338,49418,59488,338,41836,2016,4
Virgin Australia,Papua New Guinea,25,2318,4400,25,2311,2016,4
Virgin Australia,Solomon Islands,8,527,1402,8,734,2016,4
Virgin Australia,Tonga,8,957,1408,8,753,2016,4
Virgin Australia,USA,60,15475,21660,60,17537,2016,4
Virgin Samoa,Western Samoa,15,1856,2640,16,2020,2016,4
Xiamen Airlines,China,22,4530,5192,21,3417,2016,4
Air Caledonie International,New Caledonia,31,3943,5493,31,3692,2016,5
Air Canada,Canada,31,5973,9270,31,8228,2016,5
Air China,China,62,9381,15740,62,11319,2016,5
Air India,India,31,6902,7936,31,4600,2016,5
Air Mauritius,Mauritius,9,1768,2475,9,1875,2016,5
Air New Zealand,Cook Islands,4,661,910,4,716,2016,5
Air New Zealand,New Zealand,540,89683,109948,541,86821,2016,5
Air Niugini,Papua New Guinea,116,6924,15603,116,6996,2016,5
Air Vanuatu,Vanuatu,27,3656,4590,27,3557,2016,5
AirAsia X,Malaysia,173,49464,65221,174,45430,2016,5
AirAsia X,New Zealand,31,6706,11687,31,6954,2016,5
All Nippon Airways,Japan,31,4645,6665,31,4973,2016,5
American Airlines,USA,31,5421,9610,31,5667,2016,5
Asiana Airlines,Korea,31,7439,9393,31,7575,2016,5
British Airways,UK,30,5980,8910,30,7782,2016,5
Cathay Pacific Airways,Hong Kong (SAR),333,68374,86582,334,77777,2016,5
Cebu Pacific Air,Philippines,22,5580,9592,22,4979,2016,5
China Airlines,New Zealand,31,4589,9503,31,4448,2016,5
China Airlines,Taiwan,43,8559,12984,43,9265,2016,5
China Eastern Airlines,China,99,17894,22772,99,20034,2016,5
China Southern Airlines,China,186,35158,49866,186,37386,2016,5
Delta Air Lines,USA,28,6106,8148,28,6577,2016,5
Emirates,New Zealand,124,39185,56300,124,33351,2016,5
Emirates,United Arab Emirates,358,78090,146691,357,107036,2016,5
Etihad Airways,United Arab Emirates,173,28345,57023,173,41684,2016,5
Eva Air,Taiwan,8,1634,2016,8,1682,2016,5
Federal Express Corporation,China,NA,NA,NA,27,NA,2016,5
Federal Express Corporation,USA,27,NA,NA,NA,NA,2016,5
Fiji Airways,Fiji,109,16357,20827,110,16687,2016,5
Garuda Indonesia,Indonesia,146,20990,34972,146,23935,2016,5
Hawaiian Airlines,USA,49,10624,14357,49,10035,2016,5
Hong Kong Airlines,Hong Kong (SAR),9,1344,2628,9,1681,2016,5
Indonesia AirAsia,Indonesia,125,15246,22500,125,15415,2016,5
Indonesia AirAsia Extra,Indonesia,40,9107,15080,40,10477,2016,5
Japan Airlines,Japan,31,5236,7564,31,5624,2016,5
Jetstar,China,9,1702,3015,9,1644,2016,5
Jetstar,Fiji,31,3789,5580,31,3349,2016,5
Jetstar,Indonesia,221,46460,54040,219,47015,2016,5
Jetstar,Japan,75,17045,25125,76,18929,2016,5
Jetstar,New Zealand,232,33276,42845,233,30646,2016,5
Jetstar,Singapore,50,9276,12100,50,9434,2016,5
Jetstar,Thailand,49,12696,16415,49,12925,2016,5
Jetstar,USA,49,14097,16415,49,11808,2016,5
Jetstar Asia,Singapore,62,8850,11160,63,8097,2016,5
Korean Air,Korea,49,9845,13083,49,10682,2016,5
LATAM Airlines,Chile,32,7623,9888,31,7781,2016,5
Malaysia Airlines,Malaysia,187,25495,48791,187,25272,2016,5
Malindo Air,Malaysia,53,5047,8586,53,4136,2016,5
Nauru Airlines,Nauru,19,901,2048,19,980,2016,5
